Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume
2019-09-04,1.8486,1.87,1.7167,1.7784,3579394.12,2019-09-04 23:59:59.999000064,6383418.411104,18905,1625184.8,2903400.242396
2019-09-05,1.7793,1.8624,1.768,1.7921,2744215.93,2019-09-05 23:59:59.999000064,4979721.839578,15051,1268907.64,2305359.831434
2019-09-06,1.7919,1.86,1.6767,1.7226,3184048.39,2019-09-06 23:59:59.999000064,5630495.566505,15071,1360196.27,2412498.208357
2019-09-07,1.7222,1.806,1.7085,1.7672,2404181.98,2019-09-07 23:59:59.999000064,4219207.724271,11440,1241199.8,2178384.540197
2019-09-08,1.7672,1.9054,1.761,1.8275,3504716.5,2019-09-08 23:59:59.999000064,6430515.622676,17352,1820045.95,3340669.895855
2019-09-09,1.829,1.8731,1.761,1.7872,3483191.16,2019-09-09 23:59:59.999000064,6323682.303087,16969,1613266.3,2927877.328492
2019-09-10,1.7883,1.8326,1.773,1.7998,2713368.74,2019-09-10 23:59:59.999000064,4891387.975576,11896,1236224.09,2228219.631877
2019-09-11,1.7988,1.8258,1.7136,1.7301,2229727.06,2019-09-11 23:59:59.999000064,3918515.822395,11755,1011627.26,1777845.371492
2019-09-12,1.7301,1.7458,1.6918,1.7073,2229068.92,2019-09-12 23:59:59.999000064,3823973.622408,9598,974158.19,1671252.219306
2019-09-13,1.7073,1.7099,1.51,1.5759,6639098.35,2019-09-13 23:59:59.999000064,10598044.802062,28807,3130891.64,4998740.635247
2019-09-14,1.5761,1.6375,1.5239,1.5634,5719166.79,2019-09-14 23:59:59.999000064,9072573.988018,22397,2872604.53,4559905.274599
2019-09-15,1.5634,1.6458,1.56,1.6104,4049102.77,2019-09-15 23:59:59.999000064,6482781.439093,15329,2091400.1,3347994.953425
2019-09-16,1.611,1.6355,1.545,1.5806,3549602.58,2019-09-16 23:59:59.999000064,5624544.163061,13797,1761987.63,2792504.855807
2019-09-17,1.5806,1.6765,1.5532,1.624,5393985.89,2019-09-17 23:59:59.999000064,8714835.385778,21318,2735633.18,4417117.161207
2019-09-18,1.624,1.8462,1.624,1.801,8269809.73,2019-09-18 23:59:59.999000064,14349788.105683,37964,4200611.15,7287468.052508
2019-09-19,1.7994,1.9075,1.7079,1.8744,8590087.52,2019-09-19 23:59:59.999000064,15710104.15257,51360,4389889.23,8035327.812241
2019-09-20,1.8743,1.8772,1.751,1.8245,3503491.24,2019-09-20 23:59:59.999000064,6350663.860901,19417,1720778.07,3118254.9732
2019-09-21,1.8215,1.8888,1.7881,1.8855,2773787.16,2019-09-21 23:59:59.999000064,5105903.211972,16606,1333795.08,2457221.529058
2019-09-22,1.8848,1.8868,1.7711,1.8157,2311848.65,2019-09-22 23:59:59.999000064,4207056.964399,13996,1037548.52,1888559.676912
2019-09-23,1.8149,1.88,1.7799,1.8048,2670201.16,2019-09-23 23:59:59.999000064,4898382.212044,17268,1339381.67,2460205.290945
2019-09-24,1.8034,2.0657,1.4612,1.716,16495451.14,2019-09-24 23:59:59.999000064,30520015.62132,77463,8098357.76,14995974.877169
2019-09-25,1.7135,1.9286,1.6249,1.7443,8910418.88,2019-09-25 23:59:59.999000064,15541919.879327,47780,4157949.93,7262517.601153
2019-09-26,1.7476,1.7584,1.5276,1.6512,6950205.76,2019-09-26 23:59:59.999000064,11469705.438744,35628,3357189.7,5533664.062728
2019-09-27,1.6512,1.6786,1.5573,1.659,4337039.06,2019-09-27 23:59:59.999000064,6997435.262801,20123,2158596.56,3483835.960762
2019-09-28,1.6593,1.7017,1.6284,1.6742,2378769.19,2019-09-28 23:59:59.999000064,3966341.324873,12491,1200455.94,2002200.909283
2019-09-29,1.6748,1.7492,1.6441,1.7002,3307432.07,2019-09-29 23:59:59.999000064,5630013.418347,18956,1683143.45,2867411.84929
2019-09-30,1.7004,1.769,1.6404,1.7677,3573550.83,2019-09-30 23:59:59.999000064,6091950.81525,17595,1768053.92,3018330.386174
2019-10-01,1.7677,1.882,1.7522,1.8286,4084117.04,2019-10-01 23:59:59.999000064,7423999.322832,23205,1984180.66,3607861.278088
2019-10-02,1.8285,2.0233,1.8121,2.011,5790547.34,2019-10-02 23:59:59.999000064,11112247.031841,29219,2949602.14,5662739.596907
